n,r,m
"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})",[:SPECIFIED_BY],"(:PortRange {severity: varies,protocol: TCP,service: All ports,name: 1-65535})"
"(:PortRange {severity: varies,protocol: TCP,service: Top 100 ports,name: 1-100})",[:USED_BY],"(:Option {code: -F,works_without_scan: true,name: Fast Mode,description: Scan les top 100 ports uniquement,category: performance,requires_root: false})"
"(:Option {code: -F,works_without_scan: true,name: Fast Mode,description: Scan les top 100 ports uniquement,category: performance,requires_root: false})",[:USED_BY],"(:PortRange {severity: varies,protocol: TCP,service: Top 100 ports,name: 1-100})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:RECOMMENDED_PORTS],"(:PortRange {severity: high,protocol: TCP,service: Most common,name: 80,443,22,3389,445})"
"(:PortRange {severity: high,protocol: TCP,service: Most common,name: 80,443,22,3389,445})",[:RECOMMENDED_PORTS],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:CAN_SCAN],"(:PortRange {severity: varies,protocol: TCP,service: All ports,name: 1-65535})"
"(:PortRange {severity: varies,protocol: TCP,service: All ports,name: 1-65535})",[:CAN_SCAN],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:IGNORES],"(:PortRange {severity: low,protocol: TCP,service: HTTP,name: 80})"
"(:PortRange {severity: low,protocol: TCP,service: HTTP,name: 80})",[:IGNORES],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Script {risk_level: low,protocol: SMB,code: smb-os-discovery,name: SMB OS Discovery,description: Détecte OS via SMB,category: discovery,requires_port: 445})",[:REQUIRES_SCAN],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:REQUIRES_SCAN],"(:Script {risk_level: low,protocol: SMB,code: smb-os-discovery,name: SMB OS Discovery,description: Détecte OS via SMB,category: discovery,requires_port: 445})"
"(:Script {risk_level: medium,protocol: SMB,code: smb-enum-shares,name: SMB Enum Shares,description: Énumère partages SMB accessibles,category: enumeration,requires_port: 445})",[:REQUIRES_SCAN],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:REQUIRES_SCAN],"(:Script {risk_level: medium,protocol: SMB,code: smb-enum-shares,name: SMB Enum Shares,description: Énumère partages SMB accessibles,category: enumeration,requires_port: 445})"
"(:Script {risk_level: low,protocol: HTTP,code: http-title,name: HTTP Title,description: Récupère titre des pages web,category: discovery,requires_port: 80})",[:REQUIRES_SCAN],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:REQUIRES_SCAN],"(:Script {risk_level: low,protocol: HTTP,code: http-title,name: HTTP Title,description: Récupère titre des pages web,category: discovery,requires_port: 80})"
"(:Script {risk_level: low,protocol: HTTPS,code: ssl-cert,name: SSL Certificate Info,description: Infos du certificat SSL/TLS,category: discovery,requires_port: 443})",[:REQUIRES_SCAN],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:REQUIRES_SCAN],"(:Script {risk_level: low,protocol: HTTPS,code: ssl-cert,name: SSL Certificate Info,description: Infos du certificat SSL/TLS,category: discovery,requires_port: 443})"
"(:Script {risk_level: low,protocol: SSH,code: ssh-hostkey,name: SSH Hostkey,description: Récupère clé publique SSH,category: discovery,requires_port: 22})",[:REQUIRES_SCAN],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:REQUIRES_SCAN],"(:Script {risk_level: low,protocol: SSH,code: ssh-hostkey,name: SSH Hostkey,description: Récupère clé publique SSH,category: discovery,requires_port: 22})"
"(:Example {use_case: Reconnaissance générale,difficulty: easy,name: Basic SYN Scan,description: Scan SYN simple sur un réseau entier,command: nmap -sS 192.168.1.0/24,estimated_time: 5-10 minutes})",[:USES_SCAN],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:USES_SCAN],"(:Example {use_case: Reconnaissance générale,difficulty: easy,name: Basic SYN Scan,description: Scan SYN simple sur un réseau entier,command: nmap -sS 192.168.1.0/24,estimated_time: 5-10 minutes})"
"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})",[:USES_SCAN],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:USES_SCAN],"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})"
"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})",[:USES_SCAN],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:USES_SCAN],"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})"
"(:Example {use_case: Découverte services UDP,difficulty: medium,name: UDP Service Discovery,description: Scan UDP sur ports DNS, NTP, SNMP,command: nmap -sU -p 53,123,161 192.168.1.1,estimated_time: 10-20 minutes})",[:USES_SCAN],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:USES_SCAN],"(:Example {use_case: Découverte services UDP,difficulty: medium,name: UDP Service Discovery,description: Scan UDP sur ports DNS, NTP, SNMP,command: nmap -sU -p 53,123,161 192.168.1.1,estimated_time: 10-20 minutes})"
"(:Example {use_case: Test de pénétration complet,difficulty: hard,name: Aggressive Full Scan,description: Scan agressif avec tous les détails, timing rapide,stealth_level: very_low,command: nmap -A -T4 -p- 192.168.1.1,estimated_time: 1-2 hours})",[:USES_SCAN],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:USES_SCAN],"(:Example {use_case: Test de pénétration complet,difficulty: hard,name: Aggressive Full Scan,description: Scan agressif avec tous les détails, timing rapide,stealth_level: very_low,command: nmap -A -T4 -p- 192.168.1.1,estimated_time: 1-2 hours})"
"(:Example {use_case: Contournement pare-feu/IDS,difficulty: hard,name: Stealth Scan,description: Scan FIN avec leurres et timing paranoid,stealth_level: very_high,command: nmap -sF -D 192.168.1.2,192.168.1.3 -T0 192.168.1.1,estimated_time: several_hours})",[:USES_SCAN],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:USES_SCAN],"(:Example {use_case: Contournement pare-feu/IDS,difficulty: hard,name: Stealth Scan,description: Scan FIN avec leurres et timing paranoid,stealth_level: very_high,command: nmap -sF -D 192.168.1.2,192.168.1.3 -T0 192.168.1.1,estimated_time: several_hours})"
"(:Example {difficulty: easy,use_case: Reconnaissance réseau,name: Host Discovery Only,description: Découverte rapide hôtes du réseau,command: nmap -sn 192.168.1.0/24,estimated_time: 1-2 minutes})",[:USES_SCAN],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:USES_SCAN],"(:Example {difficulty: easy,use_case: Reconnaissance réseau,name: Host Discovery Only,description: Découverte rapide hôtes du réseau,command: nmap -sn 192.168.1.0/24,estimated_time: 1-2 minutes})"
"(:Example {difficulty: medium,use_case: Découverte partages/infos SMB,name: SMB Enumeration,description: Énumération complète SMB,command: nmap -sV --script=smb-os-discovery,smb-enum-shares 192.168.1.1,estimated_time: 5-10 minutes})",[:USES_SCAN],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:USES_SCAN],"(:Example {difficulty: medium,use_case: Découverte partages/infos SMB,name: SMB Enumeration,description: Énumération complète SMB,command: nmap -sV --script=smb-os-discovery,smb-enum-shares 192.168.1.1,estimated_time: 5-10 minutes})"
"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})",[:USES_OPTION],"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})"
"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})",[:USES_OPTION],"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})"
"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})",[:USES_OPTION],"(:Option {code: -sV,works_without_scan: false,name: Version Detection,description: Détecte la version des services,category: detection,requires_root: false})"
"(:Option {code: -sV,works_without_scan: false,name: Version Detection,description: Détecte la version des services,category: detection,requires_root: false})",[:USES_OPTION],"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})"
"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})",[:USES_OPTION],"(:Option {code: -O,works_without_scan: false,name: OS Detection,description: Active la détection du système d'exploitation,category: detection,requires_root: true})"
"(:Option {code: -O,works_without_scan: false,name: OS Detection,description: Active la détection du système d'exploitation,category: detection,requires_root: true})",[:USES_OPTION],"(:Example {difficulty: medium,use_case: Analyse approfondie d'un hôte,requires_open_port: true,name: Full Port Scan with Version Detection,description: Scan tous les ports, détecte OS et versions,command: nmap -p- -sV -O 192.168.1.1,estimated_time: 30-60 minutes,requires_closed_port: true})"
"(:Example {use_case: Découverte services UDP,difficulty: medium,name: UDP Service Discovery,description: Scan UDP sur ports DNS, NTP, SNMP,command: nmap -sU -p 53,123,161 192.168.1.1,estimated_time: 10-20 minutes})",[:USES_OPTION],"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})"
"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})",[:USES_OPTION],"(:Example {use_case: Découverte services UDP,difficulty: medium,name: UDP Service Discovery,description: Scan UDP sur ports DNS, NTP, SNMP,command: nmap -sU -p 53,123,161 192.168.1.1,estimated_time: 10-20 minutes})"
"(:Example {use_case: Test de pénétration complet,difficulty: hard,name: Aggressive Full Scan,description: Scan agressif avec tous les détails, timing rapide,stealth_level: very_low,command: nmap -A -T4 -p- 192.168.1.1,estimated_time: 1-2 hours})",[:USES_OPTION],"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})"
"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})",[:USES_OPTION],"(:Example {use_case: Test de pénétration complet,difficulty: hard,name: Aggressive Full Scan,description: Scan agressif avec tous les détails, timing rapide,stealth_level: very_low,command: nmap -A -T4 -p- 192.168.1.1,estimated_time: 1-2 hours})"
"(:Example {use_case: Contournement pare-feu/IDS,difficulty: hard,name: Stealth Scan,description: Scan FIN avec leurres et timing paranoid,stealth_level: very_high,command: nmap -sF -D 192.168.1.2,192.168.1.3 -T0 192.168.1.1,estimated_time: several_hours})",[:USES_OPTION],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:USES_OPTION],"(:Example {use_case: Contournement pare-feu/IDS,difficulty: hard,name: Stealth Scan,description: Scan FIN avec leurres et timing paranoid,stealth_level: very_high,command: nmap -sF -D 192.168.1.2,192.168.1.3 -T0 192.168.1.1,estimated_time: several_hours})"
"(:Example {use_case: Contournement pare-feu/IDS,difficulty: hard,name: Stealth Scan,description: Scan FIN avec leurres et timing paranoid,stealth_level: very_high,command: nmap -sF -D 192.168.1.2,192.168.1.3 -T0 192.168.1.1,estimated_time: several_hours})",[:USES_OPTION],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:USES_OPTION],"(:Example {use_case: Contournement pare-feu/IDS,difficulty: hard,name: Stealth Scan,description: Scan FIN avec leurres et timing paranoid,stealth_level: very_high,command: nmap -sF -D 192.168.1.2,192.168.1.3 -T0 192.168.1.1,estimated_time: several_hours})"
"(:Example {difficulty: medium,use_case: Découverte partages/infos SMB,name: SMB Enumeration,description: Énumération complète SMB,command: nmap -sV --script=smb-os-discovery,smb-enum-shares 192.168.1.1,estimated_time: 5-10 minutes})",[:USES_OPTION],"(:Option {code: --script,works_without_scan: false,name: NSE Scripts,description: Exécute des scripts NSE personnalisés,category: scripting,requires_root: false})"
"(:Option {code: --script,works_without_scan: false,name: NSE Scripts,description: Exécute des scripts NSE personnalisés,category: scripting,requires_root: false})",[:USES_OPTION],"(:Example {difficulty: medium,use_case: Découverte partages/infos SMB,name: SMB Enumeration,description: Énumération complète SMB,command: nmap -sV --script=smb-os-discovery,smb-enum-shares 192.168.1.1,estimated_time: 5-10 minutes})"
"(:Example {difficulty: easy,use_case: Rapport d'analyse documentée,name: Save All Formats,description: Scan complet sauvegardé en tous formats,command: nmap -A -oA scan_results 192.168.1.1,estimated_time: varies})",[:USES_OPTION],"(:Option {code: -oA,works_without_scan: true,name: All Output Formats,description: Tous formats (normal, XML, grepable),category: output,requires_root: false})"
"(:Option {code: -oA,works_without_scan: true,name: All Output Formats,description: Tous formats (normal, XML, grepable),category: output,requires_root: false})",[:USES_OPTION],"(:Example {difficulty: easy,use_case: Rapport d'analyse documentée,name: Save All Formats,description: Scan complet sauvegardé en tous formats,command: nmap -A -oA scan_results 192.168.1.1,estimated_time: varies})"
"(:Validation {severity: warning,needs: open_ports,depends_on: -sV,name: Version Detection Validity,rule: -sV requires open ports to be detected first})",[:VALIDATES],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:VALIDATES],"(:Validation {severity: warning,needs: open_ports,depends_on: -sV,name: Version Detection Validity,rule: -sV requires open ports to be detected first})"
"(:Validation {severity: warning,needs: open_and_closed_ports,depends_on: -O,name: OS Detection Validity,rule: -O requires at least one open and one closed port})",[:VALIDATES],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:VALIDATES],"(:Validation {severity: warning,needs: open_and_closed_ports,depends_on: -O,name: OS Detection Validity,rule: -O requires at least one open and one closed port})"
"(:Validation {severity: info,depends_on: -T0,alternative: -T3 (normal timing),name: Timing Impact,rule: -T0 and -T1 are extremely slow (hours to days)})",[:VALIDATES],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:VALIDATES],"(:Validation {severity: info,depends_on: -T0,alternative: -T3 (normal timing),name: Timing Impact,rule: -T0 and -T1 are extremely slow (hours to days)})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:CONFLICTS_WITH {reason: Paranoid timing conflicts with Insane timing}],"(:Option {code: -T5,speed_impact: extreme,stealth_impact: critical,works_without_scan: true,name: Insane Timing,description: Très rapide mais peut causer imprécisions,category: timing,requires_root: false})"
"(:Option {code: -T5,speed_impact: extreme,stealth_impact: critical,works_without_scan: true,name: Insane Timing,description: Très rapide mais peut causer imprécisions,category: timing,requires_root: false})",[:CONFLICTS_WITH {reason: Paranoid timing conflicts with Insane timing}],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})",[:CONFLICTS_WITH {reason: Aggressive timing defeats stealth scans}],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:CONFLICTS_WITH {reason: Aggressive timing defeats stealth scans}],"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})"
"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})",[:CONFLICTS_WITH {reason: Aggressive timing defeats stealth scans}],"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:CONFLICTS_WITH {reason: Aggressive timing defeats stealth scans}],"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})"
"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})",[:CONFLICTS_WITH {reason: Aggressive timing defeats stealth scans}],"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:CONFLICTS_WITH {reason: Aggressive timing defeats stealth scans}],"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:HAS_COMPLEXITY],"(:Complexity {examples: 2,level: EASY,time_to_learn: < 1 day,description: Simple reconnaissance})"
"(:Complexity {examples: 2,level: EASY,time_to_learn: < 1 day,description: Simple reconnaissance})",[:HAS_COMPLEXITY],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:HAS_COMPLEXITY],"(:Complexity {examples: 2,level: EASY,time_to_learn: < 1 day,description: Simple reconnaissance})"
